Rank,Pokemon,Usage%,Raw,Raw%,Real,Real%
344,Carkol,0.00000%,50,0.001%,18,0.001%
345,Rufflet,0.00000%,26,0.001%,11,0.001%
346,Applin,0.00000%,3,0.000%,0,0.000%
347,Rolycoly,0.00000%,3,0.000%,2,0.000%
348,Snorunt,0.00000%,264,0.007%,108,0.006%
349,Kirlia,0.00000%,16,0.000%,2,0.000%
350,Skiddo,0.00000%,19,0.001%,10,0.001%
351,Shuppet,0.00000%,3,0.000%,2,0.000%
352,Salandit,0.00000%,67,0.002%,22,0.001%
353,Varoom,0.00000%,20,0.001%,7,0.000%
354,Sandygast,0.00000%,65,0.002%,20,0.001%
355,Frigibax,0.00000%,4,0.000%,1,0.000%
356,Rockruff,0.00000%,1,0.000%,1,0.000%
357,Mudbray,0.00000%,8,0.000%,3,0.000%
358,Mareanie,0.00000%,13,0.000%,8,0.000%
359,Wingull,0.00000%,38,0.001%,12,0.001%
360,Clauncher,0.00000%,16,0.000%,10,0.001%
361,Kricketot,0.00000%,8,0.000%,6,0.000%
362,Steenee,0.00000%,10,0.000%,4,0.000%
363,Barboach,0.00000%,2,0.000%,2,0.000%
364,Luxio,0.00000%,42,0.001%,16,0.001%
365,Smoliv,0.00000%,19,0.001%,9,0.001%
366,Axew,0.00000%,9,0.000%,1,0.000%
367,Gimmighoul,0.00000%,45,0.001%,18,0.001%
368,Bounsweet,0.00000%,10,0.000%,5,0.000%
369,Sprigatito,0.00000%,26,0.001%,14,0.001%
370,Starly,0.00000%,49,0.001%,23,0.001%
371,Toxel,0.00000%,31,0.001%,3,0.000%
372,Noibat,0.00000%,13,0.000%,2,0.000%
373,Sandile,0.00000%,16,0.000%,3,0.000%
374,Finizen,0.00000%,24,0.001%,17,0.001%
375,Flaaffy,0.00000%,32,0.001%,14,0.001%
376,Voltorb,0.00000%,34,0.001%,6,0.000%
377,Gastly,0.00000%,18,0.000%,10,0.001%
378,Teddiursa,0.00000%,8,0.000%,6,0.000%
379,Charcadet,0.00000%,20,0.001%,6,0.000%
380,Zorua-Hisui,0.00000%,4,0.000%,3,0.000%
381,Stunky,0.00000%,24,0.001%,1,0.000%
382,Impidimp,0.00000%,28,0.001%,10,0.001%
383,Pawmo,0.00000%,42,0.001%,15,0.001%
384,Crabrawler,0.00000%,30,0.001%,18,0.001%
385,Pawmi,0.00000%,7,0.000%,2,0.000%
386,Hatenna,0.00000%,4,0.000%,3,0.000%
387,Fraxure,0.00000%,10,0.000%,2,0.000%
388,Shinx,0.00000%,11,0.000%,2,0.000%
389,Bagon,0.00000%,1,0.000%,0,0.000%
390,Goomy,0.00000%,2,0.000%,0,0.000%
391,Yungoos,0.00000%,3,0.000%,1,0.000%
392,Glimmet,0.00000%,37,0.001%,9,0.001%
393,Deerling,0.00000%,20,0.001%,14,0.001%
394,Combee,0.00000%,2,0.000%,0,0.000%
395,Scatterbug,0.00000%,23,0.001%,3,0.000%
396,Fomantis,0.00000%,4,0.000%,0,0.000%
397,Houndour,0.00000%,26,0.001%,16,0.001%
398,Rookidee,0.00000%,17,0.000%,8,0.000%
399,Sinistea,0.00000%,26,0.001%,5,0.000%
400,Hoppip,0.00000%,26,0.001%,12,0.001%
401,Nymble,0.00000%,13,0.000%,8,0.000%
402,Bramblin,0.00000%,159,0.004%,125,0.007%
403,Tarountula,0.00000%,50,0.001%,7,0.000%
