id,name,elements,sigelements,yeardiscovery,hmin,hmax,hardtype,specificgravity,strunz10ed1,strunz10ed2,strunz10ed3,strunz10ed4,dana8ed1,dana8ed2,dana8ed3,dana8ed4
31587,Lasalite,-Mg-Na-O-H-V-,-Mg-Na-O-H-V-,,1.0,1.0,0,,4,H,C,05,,,,
31588,Grandviewite,-Al-Cu-O-S-H-,-Al-Cu-O-S-H-,,2.0,2.0,0,,7,B,B,60,30,1,19,
31589,Dovyrenite,-Ca-Si-Zr-O-H-,-Ca-Si-Zr-O-H-,2006,3.0,4.0,0,,9,B,E,23,,,,
31590,Lakebogaite,-Ca-Fe-Na-O-P-H-U-,-Ca-Fe-Na-O-P-H-U-,,0.0,0.0,0,,8,E,A,20,42,13,18,1
31591,Cassagnaite,-Al-Ca-Fe-Mg-Mn-Si-O-H-V-,-Ca-Fe-Si-O-H-V-,,0.0,0.0,0,,9,B,J,65,,,,
31645,Selenopolybasite,-Ag-As-Cu-Sb-Se-S-,-Ag-Cu-Sb-Se-S-,,3.0,3.5,0,,2,G,B,15,3,1,7,2
31662,Ramanite-(Rb),-Rb-B-O-H-,-Rb-B-O-H-,,0.0,0.0,0,,6,E,A,10,26,5,2,2
31663,Ramanite-(Cs),-Cs-B-O-H-,-Cs-B-O-H-,,0.0,0.0,0,,6,E,A,10,26,5,2,3
31664,Andrianovite,-Ca-Ce-Mn-Na-Nb-Si-Sr-Zr-O-K-H-,-Ca-Mn-Na-Nb-Si-Zr-O-K-,,5.0,5.0,0,,9,C,O,10,64,1,2,4
31665,Montetrisaite,-Cu-O-S-H-,-Cu-O-S-H-,,2.0,3.0,0,,7,D,D,85,31,2,8,
31722,Bendadaite,-As-Fe-O-H-,-As-Fe-O-H-,,3.0,3.0,0,,8,D,C,15,42,11,20,6
31726,Meridianiite,-Mg-O-S-H-,-Mg-O-S-H-,2007,0.0,0.0,0,,7,C,B,90,29,6,6,8
31727,Munakataite,-Cu-Pb-Se-O-S-H-,-Cu-Pb-Se-O-S-H-,,2.5,2.5,3,,7,B,C,65,34,8,9,
31728,Barahonaite-(Al),-Al-As-Ca-Cl-Cu-Fe-Na-O-H-,-Al-As-Ca-O-H-,,0.0,0.0,1,,8,C,H,60,40,6,4,1
31993,Lakargiite,-Ca-Sn-Ti-Zr-O-,-Ca-Zr-O-,,8.0,9.0,0,,4,C,C,30,,,,
31994,Jahnsite-(NaFeMg),-Fe-Mg-Na-O-P-H-,-Fe-Mg-Na-O-P-H-,,4.0,4.0,0,,8,D,H,15,42,11,2,6
32159,Barahonaite-(Fe),-Al-As-Ca-Cl-Cu-Fe-Na-O-H-,-As-Ca-Fe-O-H-,,0.0,0.0,1,,8,C,H,60,40,6,4,1
32197,Meurigite-Na,-Fe-Na-O-P-H-,-Fe-Na-O-P-H-,,3.0,3.0,0,,8,D,J,20,42,13,14,2
32198,Demicheleite-(Br),-Bi-Br-S-,-Bi-Br-S-,,0.0,0.0,0,,2,F,C,25,2,15,14,1
32199,Voronkovite,-Ca-Ce-Cl-Fe-Mn-Na-Si-Zr-O-H-,-Cl-Fe-Mn-Na-Si-Zr-O-H-,,5.0,5.0,0,,9,C,O,10,64,1,3,3
32206,Magnesiopascoite,-Ca-Mg-O-H-V-,-Ca-Mg-O-H-V-,,0.0,0.0,0,,4,H,C,05,47,3,6,3
32207,Martyite,-Zn-O-H-V-,-Zn-O-H-V-,,3.0,3.0,0,,8,F,D,05,40,3,10,2
32208,Nielsbohrite,-As-O-K-H-U-,-As-O-K-H-U-,,2.0,2.0,0,,8,E,D,20,42,13,10,
32284,Allendeite,-Sc-Zr-O-,-Sc-Zr-O-,,0.0,0.0,1,,4,C,C,,4,6,8,
32285,Stibioclaudetite,-As-Sb-O-,-As-Sb-O-,,2.0,2.0,0,,4,C,B,45,4,3,10,3
32286,Hexamolybdenum,-Fe-Ir-Mo-Os-Ru-,-Mo-,,0.0,0.0,0,,1,A,E,05,,,,
32287,Thermessaite,-Al-O-K-F-S-,-Al-O-K-F-S-,,0.0,0.0,1,,3,C,G,25,,,,
32288,Fluorcanasite,-Ca-Na-Si-O-K-F-H-,-Ca-Na-Si-O-K-F-H-,,5.0,5.0,0,,9,D,G,80,,,,
32289,Niveolanite,-Be-Na-O-C-H-,-Be-Na-O-C-H-,,0.0,0.0,1,,5,D,C,35,16b,3,7,
32290,Monipite,-Mo-Ni-P-,-Mo-Ni-P-,,0.0,0.0,0,,1,B,D,10,1,1,31,5
40398,Aldridgeite,-Ca-Cd-Cu-Zn-O-S-H-,-Cd-Cu-O-S-H-,,3.0,3.0,0,,7,D,F,,,,,
32363,Klajite,-As-Cu-Mn-O-H-,-As-Cu-Mn-O-H-,,2.0,3.0,0,,8,C,E,30,39,2,7,5
32381,Ferroqingheiite,-Al-Fe-Mg-Na-O-P-,-Al-Fe-Mg-Na-O-P-,,4.0,4.0,2,,8,A,C,15,38,2,8,8
32615,Bussyite-(Ce),-Be-Ce-Mn-Na-Si-O-F-H-,-Be-Ce-Mn-Na-Si-O-F-,2004,4.0,4.0,0,,9,E,A,80,,,,
32616,Suhailite,-Al-Fe-Si-N-O-H-,-Al-Fe-Si-N-O-H-,,2.5,2.5,0,,9,E,C,20,,,,
32618,Ivanyukite-Na,-Na-Si-Ti-O-H-,-Na-Si-Ti-O-H-,,0.0,0.0,0,,9,A,G,50,,,,
32619,Ivanyukite-K,-Si-Ti-O-K-H-,-Si-Ti-O-K-H-,,4.0,4.0,0,,9,A,G,50,,,,
32620,Ivanyukite-Cu,-Cu-Si-Ti-O-H-,-Cu-Si-Ti-O-H-,,4.0,4.0,0,,9,A,G,50,,,,
32621,Biachellaite,-Al-Ca-Na-Si-O-K-S-H-,-Al-Na-Si-O-S-H-,,5.0,5.0,3,,9,F,B,05,76,2,9,19
32664,Tanohataite,-Li-Mn-Si-O-H-,-Li-Mn-Si-O-H-,,5.0,5.5,0,,9,D,G,05,,,,
32665,Horomanite,-Fe-Ni-S-,-Fe-Ni-S-,,0.0,0.0,0,,2,B,B,,2,7,2,3
32666,Samaniite,-Cu-Fe-Ni-S-,-Cu-Fe-Ni-S-,,0.0,0.0,0,,2,B,B,,2,7,2,4
32667,Fluorokinoshitalite,-Al-Ba-Mg-Si-O-F-,-Al-Ba-Mg-Si-O-F-,,0.0,0.0,0,,9,E,C,35,71,2,21,4
35575,Colimaite,-K-S-V-,-K-S-V-,,0.0,0.0,0,,2,F,B,25,,,,
35576,Cupropearceite,-Ag-As-Cu-S-,-Ag-As-Cu-S-,,3.0,3.5,0,,2,G,B,15,,,,
35578,Kumdykolite,-Al-Na-Si-O-,-Al-Na-Si-O-,,0.0,0.0,0,,9,F,A,45,,,,
35579,Leucostaurite,-Cl-Pb-B-O-H-,-Cl-Pb-B-O-H-,,4.0,4.0,0,,6,E,A,05,,,,
35789,Potassic-ferro-pargasite,-Al-Ca-Fe-Si-O-K-H-,-Al-Ca-Fe-Si-O-K-H-,,6.0,6.0,0,,9,D,E,15,,,,
35790,Alfredstelznerite,-Ca-B-O-H-,-Ca-B-O-H-,,2.0,2.0,0,,6,D,0,,26,4,6,
35791,Eldfellite,-Fe-Na-O-S-,-Fe-Na-O-S-,,0.0,0.0,0,,7,A,C,15,28,3,4,2
35792,Xieite,-Cr-Fe-O-,-Cr-Fe-O-,,0.0,0.0,1,,4,B,B,25,,,,
35793,Potassic-hastingsite,-Al-Ca-Fe-Si-O-K-H-,-Al-Ca-Fe-Si-O-K-H-,,5.5,5.5,0,,9,D,E,15,,,,
35831,Voloshinite,-Al-Li-Rb-Si-O-F-,-Al-Li-Rb-Si-O-F-,,0.0,0.0,0,,9,E,C,9.EC.,,,,
35832,Klöchite,-Fe-Si-Zn-O-K-,-Fe-Si-Zn-O-K-,,0.0,0.0,0,,9,C,M,05,,,,
35833,Burgessite,-As-Co-O-H-,-As-Co-O-H-,,3.5,3.5,0,,8,C,B,60,39,1,13,
35858,Hokoite,-Mn-Si-O-H-,-Mn-Si-O-H-,,3.5,3.5,0,,9,H,C,35,,,,
35892,Burovaite-Ca,-Ca-Na-Nb-Si-Ti-O-K-H-,-Ca-Na-Si-Ti-O-H-,,0.0,0.0,0,,9,C,E,30c,60,1,8,3
35898,Qusongite,-C-W-,-C-W-,1986,0.0,0.0,0,,1,B,A,25,1,1,29,3
35899,Yarlongite,-Cr-Fe-Ni-C-,-Cr-Fe-Ni-C-,,5.5,6.0,0,,1,B,A,30,1,1,25,3
35900,Zangboite,-Fe-Si-Ti-,-Fe-Si-Ti-,,5.5,5.5,2,,1,B,B,,1,1,33,8
35901,Wakefieldite-(La),-La-O-V-,-La-O-V-,,4.0,4.0,3,,8,A,D,35,38,4,9,6
35911,Kunatite,-Cu-Fe-O-P-H-,-Cu-Fe-O-P-H-,2007,3.0,3.0,2,,8,D,C,15,42,11,20,7
35912,Akaogiite,-Ti-O-,-Ti-O-,,0.0,0.0,0,,4,D,0,,,,,
