index,date,name,category,value
200,2020-04-01,Tennessee,43,1141.0
201,2020-04-01,Texas,44,6553.0
202,2020-04-01,Utah,45,164.0
203,2020-04-01,Vermont,46,107.0
204,2020-04-01,Virginia,47,4114.0
205,2020-04-01,Washington,48,4427.0
206,2020-04-01,West Virginia,49,153.0
207,2020-04-01,Wisconsin,50,1784.0
208,2020-04-01,Wyoming,51,0.0
209,2020-05-01,Alabama,2,2554.0
210,2020-05-01,Alaska,3,0.0
211,2020-05-01,Arizona,4,3413.0
212,2020-05-01,Arkansas,5,303.0
213,2020-05-01,California,6,18051.0
214,2020-05-01,Colorado,7,3464.0
215,2020-05-01,Connecticut,8,9812.0
216,2020-05-01,Delaware,9,1637.0
217,2020-05-01,District of Columbia,0,2347.0
218,2020-05-01,Florida,10,9314.0
219,2020-05-01,Georgia,11,5554.0
220,2020-05-01,Hawaii,12,0.0
221,2020-05-01,Idaho,13,33.0
222,2020-05-01,Illinois,14,20926.0
223,2020-05-01,Indiana,15,7223.0
224,2020-05-01,Iowa,16,2435.0
225,2020-05-01,Kansas,17,419.0
226,2020-05-01,Kentucky,18,1629.0
227,2020-05-01,Louisiana,19,5292.0
228,2020-05-01,Maine,20,88.0
229,2020-05-01,Maryland,21,11247.0
230,2020-05-01,Massachusetts,22,20061.0
231,2020-05-01,Michigan,23,8709.0
232,2020-05-01,Minnesota,24,5495.0
233,2020-05-01,Mississippi,25,3131.0
234,2020-05-01,Missouri,26,2368.0
235,2020-05-01,Montana,27,0.0
236,2020-05-01,Nebraska,28,530.0
237,2020-05-01,Nevada,29,1029.0
238,2020-05-01,New Hampshire,30,911.0
239,2020-05-01,New Jersey,31,24900.0
240,2020-05-01,New Mexico,32,1323.0
241,2020-05-01,New York,33,19191.0
242,2020-05-01,New York City,1,17515.0
243,2020-05-01,North Carolina,34,3310.0
244,2020-05-01,North Dakota,35,173.0
245,2020-05-01,Ohio,36,7626.0
246,2020-05-01,Oklahoma,37,714.0
247,2020-05-01,Oregon,38,205.0
248,2020-05-01,Pennsylvania,39,19190.0
249,2020-05-01,Rhode Island,40,3196.0
250,2020-05-01,South Carolina,41,2110.0
251,2020-05-01,South Dakota,42,117.0
252,2020-05-01,Tennessee,43,1055.0
253,2020-05-01,Texas,44,7008.0
254,2020-05-01,Utah,45,283.0
255,2020-05-01,Vermont,46,0.0
256,2020-05-01,Virginia,47,4754.0
257,2020-05-01,Washington,48,2037.0
258,2020-05-01,West Virginia,49,121.0
259,2020-05-01,Wisconsin,50,1849.0
260,2020-05-01,Wyoming,51,0.0
261,2020-06-01,Alabama,2,2244.0
262,2020-06-01,Alaska,3,0.0
